BbF,BjF,BkF,Carbazole,DBahP
ENSDARG00000101789,,,,ENSDARG00000062550
ENSDARG00000102064,,,,ENSDARG00000062687
ENSDARG00000102142,,,,ENSDARG00000062812
ENSDARG00000102478,,,,ENSDARG00000062884
ENSDARG00000102612,,,,ENSDARG00000062974
ENSDARG00000102773,,,,ENSDARG00000063157
ENSDARG00000104068,,,,ENSDARG00000063299
ENSDARG00000104283,,,,ENSDARG00000063361
ENSDARG00000104292,,,,ENSDARG00000063594
ENSDARG00000104483,,,,ENSDARG00000063706
ENSDARG00000105104,,,,ENSDARG00000068787
ENSDARG00000106418,,,,ENSDARG00000068934
,,,,ENSDARG00000069958
,,,,ENSDARG00000070214
,,,,ENSDARG00000070227
,,,,ENSDARG00000070331
,,,,ENSDARG00000070575
,,,,ENSDARG00000071524
,,,,ENSDARG00000071567
,,,,ENSDARG00000073743
,,,,ENSDARG00000073857
,,,,ENSDARG00000074245
,,,,ENSDARG00000074677
,,,,ENSDARG00000074723
,,,,ENSDARG00000074905
,,,,ENSDARG00000075230
,,,,ENSDARG00000075928
,,,,ENSDARG00000076041
,,,,ENSDARG00000076213
,,,,ENSDARG00000076292
,,,,ENSDARG00000076830
,,,,ENSDARG00000076856
,,,,ENSDARG00000076991
,,,,ENSDARG00000077384
,,,,ENSDARG00000077474
,,,,ENSDARG00000077656
,,,,ENSDARG00000077686
,,,,ENSDARG00000077761
,,,,ENSDARG00000077909
,,,,ENSDARG00000078011
,,,,ENSDARG00000078187
,,,,ENSDARG00000078227
,,,,ENSDARG00000078327
,,,,ENSDARG00000078567
,,,,ENSDARG00000078775
,,,,ENSDARG00000078979
,,,,ENSDARG00000079064
,,,,ENSDARG00000079119
,,,,ENSDARG00000079295
,,,,ENSDARG00000079491
,,,,ENSDARG00000079741
,,,,ENSDARG00000079742
,,,,ENSDARG00000079811
,,,,ENSDARG00000079878
,,,,ENSDARG00000086224
,,,,ENSDARG00000086826
,,,,ENSDARG00000087822
