Gene,Retene_Rep1,Retene_Rep2,Retene_Rep3,Retene_Rep4,Control1_Rep1,Control1_Rep2,Control1_Rep3,Control1_Rep4
ENSDARG00000055160.5,9.000858462,8.822521828,9.202866708,8.909656264,8.941994462,8.66863394,8.768020037,9.066371335
ENSDARG00000092583.3,6.569440766,6.219712612,6.219712612,6.63361504,6.819156468,6.715881313,7.015170682,6.71705336
ENSDARG00000074742.5,7.377300765,7.296220977,7.528722431,7.791667565,7.579409314,7.655566144,7.650362608,7.710307561
ENSDARG00000104554.1,6.39489751,6.47550747,6.510188452,6.482024712,6.465899927,6.468712239,6.631562681,6.219712612
ENSDARG00000088595.2,7.879563702,7.988914437,8.040967261,7.853470578,7.493781245,7.453042609,7.461436474,7.535841049
ENSDARG00000053836.5,7.13199785,7.193130163,6.885741224,6.908131662,7.277324487,7.168111878,7.196203391,7.148154489
ENSDARG00000070603.7,8.665486232,8.743325875,8.803645366,8.683047147,8.824439516,9.078149907,8.929078538,9.059340491
ENSDARG00000093570.2,7.177986734,7.529569998,7.500035091,6.908131662,7.303253157,7.183235121,6.828142443,7.249513019
ENSDARG00000067872.4,6.994307271,6.891289031,7.139388525,6.80308597,6.739768347,7.104668759,6.670568393,6.841431872
ENSDARG00000062268.6,9.825947197,9.660571757,9.724168064,9.381473054,9.845822301,10.05088963,9.746968384,9.914315568
ENSDARG00000093024.4,8.520365839,8.165386724,8.431160459,8.360031992,8.238320331,8.367715259,8.384709624,7.994714986
ENSDARG00000100385.2,7.92367613,8.245097402,8.557795325,8.464402327,8.367213953,8.150713455,8.28666483,8.633082264
ENSDARG00000100783.1,7.13199785,6.696712405,6.998175869,6.931822717,6.806708222,7.104668759,6.670568393,6.782858508
ENSDARG00000090635.3,6.955418233,7.111026023,6.747986485,7.078180904,7.111113225,7.241176266,7.163119881,6.989443413
ENSDARG00000003989.10,8.053563608,7.882138704,8.040967261,7.878987472,8.198983842,8.075713315,8.333728127,8.093365722
ENSDARG00000103174.1,7.542018244,7.128121424,7.610349145,7.390999633,7.707006701,7.872924369,7.837483669,7.946347156
ENSDARG00000010680.6,8.479153295,8.396341141,8.557795325,8.41599771,8.354634506,8.540223482,8.772182798,8.613691038
ENSDARG00000078178.3,7.620165451,7.849783029,7.45035547,7.593858669,7.753364766,7.71830577,7.837483669,8.093365722
ENSDARG00000057789.3,8.81473338,8.985555023,8.82032231,8.56601772,8.994853267,9.009885059,8.906658398,8.813071263
ENSDARG00000093333.1,6.219712612,6.661613352,6.219712612,6.219712612,6.219712612,6.524485248,6.219712612,6.486490465
ENSDARG00000108362.1,6.219712612,6.47550747,6.62981952,6.219712612,6.494875219,6.715881313,6.219712612,6.219712612
ENSDARG00000038398.6,7.13199785,7.038630328,7.398074631,7.417096843,7.026654583,7.29553043,7.015170682,7.032362888
ENSDARG00000076622.4,8.984939976,8.845411277,9.106600836,9.015589348,9.199072824,9.393855363,9.053064199,9.203186002
ENSDARG00000092137.1,6.467309736,6.219712612,6.457018342,6.219712612,6.678905157,6.612688414,6.739619213,6.546215898
ENSDARG00000020872.8,9.089742553,9.119000158,8.982705408,8.709683571,9.184067803,9.232744647,9.191624938,9.203186002
ENSDARG00000053323.4,9.22541978,9.509173178,9.292924955,9.457833975,9.219277926,9.57924392,9.972289348,9.779347473
ENSDARG00000011809.8,7.675266334,7.529569998,7.519248284,7.71670347,7.493781245,7.726987016,7.576621358,7.604613621
ENSDARG00000062745.7,9.901387583,9.687760461,9.850414262,9.904728084,9.990952891,10.04020297,9.993327915,9.963430875
ENSDARG00000053853.4,9.29118978,9.310114683,9.230251285,9.152749478,9.747211501,9.659557296,9.605683755,9.639569105
ENSDARG00000100243.1,8.33163861,8.286040895,7.866535421,7.920327961,8.060345367,8.138521813,7.846082267,7.816079701
ENSDARG00000077814.2,6.569440766,6.47550747,6.219712612,6.219712612,6.725266133,6.219712612,6.219712612,6.546215898
ENSDARG00000099244.1,7.710525928,7.643664744,7.69432894,7.983635816,7.813680054,7.636964308,7.543388253,7.679652157
ENSDARG00000058259.5,11.43857963,11.13279379,11.35626079,11.41143713,11.33234408,11.51846044,11.03501762,11.40222584
ENSDARG00000102262.1,6.742721584,6.47550747,6.457018342,6.883530134,6.545093041,6.745659104,6.219712612,6.680483164
ENSDARG00000001968.12,8.256619861,8.364222919,8.281092172,8.421464857,8.447333196,8.442357311,8.212671973,8.579066788
ENSDARG00000099179.1,6.467309736,6.62337179,6.773465933,6.540757883,6.739768347,6.649932262,6.480718748,6.894662578
ENSDARG00000094866.1,6.569440766,6.219712612,6.219712612,6.63361504,6.432981617,6.219712612,6.539161672,6.486490465
ENSDARG00000089021.3,6.681518969,6.999626812,6.925377061,6.708784654,6.920772019,6.745659104,6.951099298,6.868629558
ENSDARG00000101896.1,6.770681927,6.580990472,6.219712612,6.708784654,6.219712612,6.395891062,6.219712612,6.408487223
ENSDARG00000074322.3,8.141181936,8.120286799,8.466132431,8.094131447,7.654136587,7.802263915,7.565659648,7.604613621
ENSDARG00000102721.1,7.62954456,7.966819468,7.271896867,7.515131445,7.82537306,7.895562125,7.747785899,8.100637533
ENSDARG00000103250.2,7.263087945,7.075681577,6.944322344,7.078180904,6.989988421,7.418905913,6.951099298,7.092409368
ENSDARG00000100288.1,7.457542291,7.20862333,7.124908979,7.3224715,7.180093123,7.152708576,7.629802391,7.382731221
ENSDARG00000105357.1,8.347162709,8.448180301,8.702670995,8.56601772,8.442614289,8.427765026,8.316279623,8.319741034
ENSDARG00000095257.4,6.770681927,7.128121424,7.079818287,6.540757883,6.980518793,6.745659104,7.035308233,7.449391949
ENSDARG00000078940.2,8.085569679,8.15266544,7.69432894,8.155986968,7.95382869,7.528466173,8.078851492,7.816079701
ENSDARG00000093304.2,9.068803514,9.217820629,9.117334444,9.149560119,9.199072824,9.2462296,9.361819489,9.313173021
ENSDARG00000105473.1,6.219712612,6.532791877,6.554937416,6.540757883,6.645096499,6.219712612,6.58833111,6.782858508
ENSDARG00000100939.1,10.95317747,11.20570618,10.82441658,11.0391748,11.3784973,11.00478296,11.13972425,11.3338242
ENSDARG00000095340.1,6.219712612,6.219712612,6.62981952,6.219712612,6.219712612,6.219712612,6.219712612,6.546215898
ENSDARG00000105106.2,8.789123825,8.91906102,8.796917115,8.790738146,8.876791918,8.811832097,8.994230059,8.51753956
ENSDARG00000086445.4,6.610483016,7.161264449,6.554937416,6.857912417,6.780937814,6.684118973,6.854776942,6.812908824
ENSDARG00000093871.2,6.467309736,6.219712612,6.747986485,6.219712612,6.545093041,6.219712612,6.219712612,6.219712612
ENSDARG00000103912.1,7.620165451,6.999626812,6.885741224,7.232908845,7.44538369,7.168111878,6.951099298,6.841431872
ENSDARG00000092550.1,6.994307271,6.78874119,7.015245714,6.908131662,7.052993282,7.121003317,6.904758189,6.71705336
ENSDARG00000103859.1,7.930871846,8.139814145,7.927538647,7.983635816,7.9041049,7.627542887,8.367936642,7.962685927
ENSDARG00000094045.1,6.610483016,6.219712612,6.821045746,6.219712612,6.465899927,6.219712612,6.800212374,6.71705336
